epoch,train_loss,val_loss,MAE,RMSE,PSNR,Pearson,SSIM,CSI_0.2,POD_0.2,FAR_0.2,CSI_0.4,POD_0.4,FAR_0.4,CSI_0.6,POD_0.6,FAR_0.6,lr
0,0.560427,0.484259,0.077811,0.110712,19.122335,-0.031684,0.109456,0.003452,0.005312,0.989731,0.001246,0.007331,0.998455,0.000476,0.013148,0.999500,9.97e-05
1,0.318713,0.177424,0.023243,0.088987,21.018181,0.028338,0.619200,0.003431,0.005267,0.989754,0.001246,0.007331,0.998455,0.000477,0.013148,0.999500,9.89e-05
2,0.152318,0.145865,0.021167,0.089415,20.976930,0.016201,0.667090,0.003433,0.005267,0.989738,0.001247,0.007331,0.998453,0.000477,0.013148,0.999499,9.76e-05
3,0.146058,0.143231,0.020632,0.088923,21.024554,0.028675,0.670059,0.003440,0.005267,0.989673,0.001254,0.007331,0.998443,0.000480,0.013148,0.999497,9.57e-05
4,0.135437,0.132058,0.014585,0.043854,27.254886,0.290258,0.683774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.34e-05
5,0.132321,0.132330,0.014631,0.043563,27.315748,0.281582,0.684193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.05e-05
6,0.130919,0.134705,0.014812,0.042854,27.457823,0.287433,0.681546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.73e-05
7,0.129630,0.131268,0.014558,0.043202,27.389325,0.299280,0.686111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.36e-05
8,0.128337,0.133483,0.014548,0.042455,27.535243,0.311002,0.683360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.96e-05
9,0.127072,0.133975,0.014570,0.042173,27.594683,0.308921,0.682338,0.000835,0.000929,0.022585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.52e-05
10,0.126042,0.133061,0.014451,0.042256,27.576869,0.310046,0.683192,0.001562,0.001809,0.037991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.06e-05
11,0.124950,0.136722,0.014742,0.041604,27.708493,0.334234,0.678572,0.002958,0.003275,0.039087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.58e-05
12,0.123937,0.138353,0.014897,0.041345,27.763407,0.335436,0.676213,0.015062,0.018654,0.149156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.08e-05
13,0.122807,0.133910,0.014437,0.042194,27.584075,0.313190,0.681909,0.005286,0.005949,0.076139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.57e-05
14,0.121929,0.133055,0.014547,0.042649,27.498600,0.305894,0.683639,0.003428,0.003736,0.047435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.05e-05
15,0.121066,0.132865,0.014374,0.042151,27.595819,0.315044,0.683482,0.009922,0.011554,0.150061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.53e-05
16,0.120168,0.135040,0.014657,0.041824,27.662304,0.319373,0.680892,0.012506,0.014772,0.180088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.02e-05
17,0.119409,0.135553,0.014725,0.041875,27.650298,0.314735,0.679698,0.018138,0.023501,0.223496,0.000139,0.000181,0.034405,0.000000,0.000000,0.000000,3.52e-05
